,Nome,Valor
79,['Dragão de Oceanus\nOceanus Dragon'],"['R$ 0,48']"
80,['Familiar Pseudodragão\nPseudodragon Familiar'],"['R$ 49,75']"
81,['Ímpeto Psíquico\nPsychic Impetus'],"['R$ 0,55']"
82,"['Renari, Comerciante de Maravilhas\nRenari, Merchant of Marvels']","['R$ 2,43']"
83,['Robe do Arquimago\nRobe of the Archmagi'],"['R$ 2,41']"
84,['Fugir Juntos\nRun Away Together'],"['R$ 1,41']"
85,"[""Ruína dos Marinheiros\nSailors' Bane""]","['R$ 0,44']"
86,['Dragão de Safira // Pulso Psiônico\nSapphire Dragon // Psionic Pulse'],"['R$ 0,43']"
87,['Megera do Mar // Entrada Aquática\nSea Hag // Aquatic Ingress'],"['R$ 0,44']"
88,['Charlatão Descarado\nShameless Charlatan'],"['R$ 0,34']"
89,['Golpe Atordoante\nStunning Strike'],"['R$ 3,75']"
90,['Marinheiro da Costa da Espada\nSword Coast Sailor'],"['R$ 18,42']"
91,['Serpente da Costa da Espada // Onda de Emborcação\nSword Coast Serpent // Capsizing Wave'],"['R$ 0,14']"
92,['Aventureira da Tumba dos Horrores\nTomb of Horrors Adventurer'],"['R$ 2,73']"
93,"[""Invocador de Tymora\nTymora's Invoker""]","['R$ 3,42']"
94,"['Vhal, Pesquisadora de Forte da Vela\nVhal, Candlekeep Researcher']","['R$ 0,43']"
95,"['Volo, Erudito Itinerante\nVolo, Itinerant Scholar']","['R$ 8,50']"
96,['Eladrin Invernal\nWinter Eladrin'],"['R$ 0,44']"
97,['Magos de Thay\nWizards of Thay'],"['R$ 1,88']"
98,['Dragão Azul Jovem // Augúrio das Areias\nYoung Blue Dragon // Sand Augury'],"['R$ 0,48']"
99,['Agente do Trono de Ferro\nAgent of the Iron Throne'],"['R$ 7,75']"
100,['Agente dos Ladrões das Sombras\nAgent of the Shadow Thieves'],"['R$ 0,24']"
101,['Altar de Bhaal // Oferenda de Ossos\nAltar of Bhaal // Bone Offering'],"['R$ 2,33']"
102,"[""Custo da Ambição\nAmbition's Cost""]","['R$ 24,75']"
103,['Dragão de Latão Ancião\nAncient Brass Dragon'],"['R$ 0,43']"
104,['Armadura de Sombras\nArmor of Shadows'],"['R$ 17,72']"
105,['Braços de Hadar\nArms of Hadar'],"['R$ 0,48']"
106,"[""Sede de Astarion\nAstarion's Thirst""]","['R$ 3,88']"
107,['Experimento Atroz\nAtrocious Experiment'],"['R$ 1,89']"
108,['Dinheiro Sangrento\nBlood Money'],"['R$ 19,25']"
109,['Clériga Convocadora de Ossos\nBonecaller Cleric'],"['R$ 0,41']"
110,['Chamado ao Vazio\nCall to the Void'],"['R$ 36,90']"
111,['Demover\nCast Down'],"['R$ 0,42']"
112,['Diabo das Correntes\nChain Devil'],"['R$ 0,43']"
113,['Névoa Mortal\nCloudkill'],"['R$ 9,70']"
114,['Passado Criminoso\nCriminal Past'],"['R$ 0,42']"
115,['Cultista do Absoluto\nCultist of the Absolute'],"['R$ 32,94']"
116,['Disputa Mortífera\nDeadly Dispute'],"['R$ 0,50']"
117,['Cérebro Ancião\nElder Brain'],"['R$ 7,71']"
118,['Pacto Místico\nEldritch Pact'],"['R$ 2,98']"
119,['Tirano da Morte Assombroso\nGhastly Death Tyrant'],"['R$ 0,44']"
120,['Lanterna Fantasma // Capturar Espírito\nGhost Lantern // Bind Spirit'],"['R$ 3,43']"
121,['Slaad Cinza // Decomposição Entrópica\nGray Slaad // Entropic Decay'],"['R$ 1,88']"
122,['Espreitadora Jurada à Guilda\nGuildsworn Prowler'],"['R$ 12,75']"
123,['Hezrou // Fedor Demoníaco\nHezrou // Demonic Stench'],"['R$ 11,90']"
124,['Devorador de Intelecto\nIntellect Devourer'],"['R$ 8,00']"
125,['Bolorentos\nMold Folk'],"['R$ 7,88']"
126,['Homicídio\nMurder'],"['R$ 0,44']"
127,"[""Édito de Myrkul\nMyrkul's Edict""]","['R$ 2,43']"
128,"[""Invocador de Myrkul\nMyrkul's Invoker""]","['R$ 0,44']"
129,['Diabrete Nefasto\nNefarious Imp'],"['R$ 0,48']"
130,['Nótico\nNothic'],"['R$ 0,44']"
131,['Arma de Pacto\nPact Weapon'],"['R$ 8,41']"
132,['Ímpeto Parasitário\nParasitic Impetus'],"['R$ 0,44']"
133,['Vidente da Passagem\nPassageway Seer'],"['R$ 0,25']"
134,['Aventureira de Ravenloft\nRavenloft Adventurer'],"['R$ 0,44']"
135,"['Safana, Degoladora de Calimporto\nSafana, Calimport Cutthroat']","['R$ 0,44']"
136,"['Sarevok, Fatífero\nSarevok, Deathbringer']","['R$ 0,44']"
137,['Rebento de Halaster\nScion of Halaster'],"['R$ 0,85']"
138,"['Sombralma, Justiciar Sombria\nShadowheart, Dark Justiciar']","['R$ 39,70']"
139,['Insígnia de Myrkul\nSigil of Myrkul'],"['R$ 0,36']"
140,"['Sivriss, Orador do Pesadelo\nSivriss, Nightmare Speaker']","['R$ 2,43']"
